,business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurante World,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116134240729487209697"">Mar C</a>'], 'photo_reference': 'AelY_Cu_LcsHvST7xFEmZCcnR-6iM_0G33s4zCO39QHnyTENM_t93D69Wui4OMB0C3eJFLC_67kXtr-_z-8qhn2_3X7LsnjcF7Zb5u_zVXXzFerS7N2oA9mEl0uGCsG57vLA4x-3PiFDY1SrAcNnm5ghycWYFV_hsi6pm9rXdFfAmDogl5R4', 'width': 2560}]",ChIJo3OI7JYnQg0RGV2mWtE-9v8,1.0,4.0,ChIJo3OI7JYnQg0RGV2mWtE-9v8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",331.0,"Plaza de San Vicente de Paúl, 4, Local, Madrid",40.3851995,-3.726708799999999,40.3865426302915,-3.725085119708498,40.3838446697085,-3.727783080291502,True,"97PF+38 Madrid, Spain",8CGR97PF+38,
1,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,D' 'NETO,"[{'height': 419, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102294000414635153732"">D&#39; &#39;NETO</a>'], 'photo_reference': 'AelY_Cuu3jGaSacMlSmA65z1pW4h6vWu3FZuOeIZZrVf55WqKpiV0WRmRfeIsWspJl4A5Q8OsyzqzLIlKEzz1lRQzaE0Boy00XDJ2k3_H9w13uYQBuqHs0h_IGGxSLRw--7n84BPJbZTrffvPFo4MTVqpwFbMWq_kwZA6IV1jmK8vXL92nxb', 'width': 745}]",ChIJwYz3CpQnQg0R4KIbaSUqbVY,1.0,4.7,ChIJwYz3CpQnQg0R4KIbaSUqbVY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1593.0,"Calle de Valle de Oro, 24, Madrid",40.38774459999999,-3.7281595,40.38916198029149,-3.726873269708498,40.38646401970849,-3.729571230291502,,"97QC+3P Madrid, Spain",8CGR97QC+3P,True
2,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Restaurante Astral - Cafetería - Cochinillo - Cocina méditerranea - Astral Café,"[{'height': 728, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106589583726669044933"">Restaurante Astral - Cafetería - Cochinillo - Cocina méditerranea - Astral Café</a>'], 'photo_reference': 'AelY_CuEzQ9MM10PI32FeWwD9Dud_reOqnO4LU11XbCyykyqdSkzLY7p-vFLwOUg9t5FvC0LyOS2Ng7pu4wzEZ3o3q-T3IeKEu1kQ8k11hlC7N26HaDUH6S79ZotcTu0JnlXjqhswX0crtHj3X_hOjFtU3vmrRtcjgQemDq4jiWenXGI1iqh', 'width': 960}]",ChIJDyM3rJYnQg0RnewzQ5myrQg,1.0,4.7,ChIJDyM3rJYnQg0RnewzQ5myrQg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1590.0,"Camino Viejo de Leganés, 82, Madrid",40.3862536,-3.7279842,40.3876526302915,-3.726588969708498,40.3849546697085,-3.729286930291502,,"97PC+GR Madrid, Spain",8CGR97PC+GR,True
3,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cavan Irish Tavern,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101065184945154485329"">Manuel Leon</a>'], 'photo_reference': 'AelY_CvGb8cSeOx-uzfKPqj0Xy4Pit_yk1D3Xh01hwMevg2I91TOxb4FI_Hvgy4He2kcIcBk2dwld9KntUv4OFxELg6GzRNkxSktG-ZWB0UMLD19m_I4CnMMc7VKJeMsgIrBN1_H8equAeD8NSdEbMREZ4icQ9yk9X2zv81RPmDZjcx9jsz_', 'width': 1920}]",ChIJaSpd_pMnQg0RUvzv7V4gBSA,1.0,4.5,ChIJaSpd_pMnQg0RUvzv7V4gBSA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",538.0,"Avenida de Oporto, 86, Madrid",40.3867754,-3.728550300000001,40.38805008029149,-3.727153619708498,40.38535211970849,-3.729851580291502,True,"97PC+PH Madrid, Spain",8CGR97PC+PH,
4,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Xolgoriu sidreria Asturiana,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106869598736578001696"">paola almela</a>'], 'photo_reference': 'AelY_Cvg1OmxYJC1CZfnfsGOtxPkABGmZYlPXi6TUd18wUvHEcIupwwdYb36Z1nvrdv3xFSwxTaBUUgDzDQF_56PiiVC2KFuDD_Iw1SxSEnaX_MFZGahE8cwtQ1-zDCrx6zlWyd7ZONXw-SIlbR-411KdZLppP0mX_7Txz3_umxr4PEPQsxh', 'width': 1920}]",ChIJK5xxff4nQg0RhGuwOoTnubo,,4.0,ChIJK5xxff4nQg0RhGuwOoTnubo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",70.0,"Avenida de Oporto, 59, Madrid",40.3863999,-3.728375999999999,40.3878018802915,-3.726961319708497,40.3851039197085,-3.729659280291501,,"97PC+HJ Madrid, Spain",8CGR97PC+HJ,
5,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Valle de Oro,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111776550724354423351"">Valle de Oro</a>'], 'photo_reference': 'AelY_CswX2ap17EbdQARG_oOvNaCSRU5MDacdDcxrO3Xh4cHVvtZ8jj5dFxSsDeV8UYp3CZxB9a5DVC-VsfdHL28NuxETf_ZMSXMSpg7f7KaC0-TP0g4w5RnZIbRz880pSIYtzf6XIr5w_QTzo0VIP9vNcsjVTUOSDBynWKcxYpvJTsyBkqE', 'width': 1200}]",ChIJl4_B9JMnQg0R7cDgJGxuU0Q,1.0,4.2,ChIJl4_B9JMnQg0R7cDgJGxuU0Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",293.0,"Calle de Valle de Oro, 20, Madrid",40.3878122,-3.7285462,40.3891905302915,-3.727256669708498,40.3864925697085,-3.729954630291503,False,"97QC+4H Madrid, Spain",8CGR97QC+4H,
6,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Taberna de Jacinto,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104220223270734283493"">Aida Y</a>'], 'photo_reference': 'AelY_CtGfdl0l6vlAVj-zj_dGJHnVCvydRISxZilUPsdViYindUsIqgVrJSrt3ivmhIdW0fOTACc3stUhomN7ok4UOUGiLjv8Eyvu4VfTpw-ghDBCN4p3VKQfje88xKISMTkGk9C8R7OLF4AKSauZybAdAr7BI44yrFF7Wn5aa5Vf0xfL8Hm', 'width': 4624}]",ChIJHY5XENgnQg0R-x22xYK7wZk,,3.5,ChIJHY5XENgnQg0R-x22xYK7wZk,GOOGLE,"['restaurant', 'liquor_store', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",933.0,"Avenida de Oporto, 41, Madrid",40.38574699999999,-3.7265137,40.3870978802915,-3.725113469708497,40.3843999197085,-3.727811430291502,True,"97PF+79 Madrid, Spain",8CGR97PF+79,
7,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,-,"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103907354665367533693"">Comida 24 Horas Food El Gato 24/7 Autoservicio</a>'], 'photo_reference': 'AelY_Cs_BSVMpQhQHA0klF4ya_O6DDU4xHL6QbDTRvti2iNVN8fnDok2eCvNJGdqSSwkx-6HGqNipcAYYzPaZqfDK82cBMw6pwtQ5EqPDjJHl0di7w-i9iMX0CQ2-tci6fU8pIznOc93nULyZ0OJ26WBStVHWDNZ8VYv2LD4o0hz4InsjpKO', 'width': 4032}]",ChIJKzAmwjInQg0R4p9mE1SLGmw,,4.3,ChIJKzAmwjInQg0R4p9mE1SLGmw,GOOGLE,"['restaurant', 'store', 'food', 'point_of_interest', 'establishment']",36.0,"Calle Francisco Guzmán, 38, Madrid",40.3855575,-3.7282029,40.3869557802915,-3.726834119708498,40.3842578197085,-3.729532080291502,True,"97PC+6P Madrid, Spain",8CGR97PC+6P,
8,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Pollo Loko Oporto,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103179189443428695329"">Ronald (Roni)</a>'], 'photo_reference': 'AelY_CsRL4ks-68UbXxC6hR0mYGtb0Cshv1yZ4KlYJNMWVf1QC5W6Pqv-cSA7q4lbw5P45clXFPy6BbNZCHomvMoo8mT1qPGswuavvGJxZoN8jx8fhV3qBWpGuMMZYtz9fpD9bhe7M8ylcHKO-s-RWqUMWmUe5hnbu15xBDe23eszlMG9IW3', 'width': 3468}]",ChIJJZYA3pMnQg0Rzunt_-2t7_M,,3.3,ChIJJZYA3pMnQg0Rzunt_-2t7_M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",154.0,"Avenida de Oporto, 71, Madrid",40.3868976,-3.7295544,40.38829833029151,-3.728114369708497,40.38560036970851,-3.730812330291502,False,"97PC+Q5 Madrid, Spain",8CGR97PC+Q5,
9,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kebap Vía Libre,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104220223270734283493"">Aida Y</a>'], 'photo_reference': 'AelY_Cvyo6zjQngJcNNSPtWOZzArWWF3xV-0keJg0HBc6W4EF-yX2L__4dAy0OAUZR9gBch-1QxAYAITgpA0oMuOUMvrI8rFuhTcU-UikO9hXTnPzmthOg9HjJ_mEe9AI6HBLhOcLu_1Tynza0oQjeVfIbBGOxcWXb3-Tjf1E-mTZMC9qly2', 'width': 4624}]",ChIJO8QOXmcnQg0RrzDsmPIo_tw,,4.5,ChIJO8QOXmcnQg0RrzDsmPIo_tw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",55.0,"Camino Viejo de Leganés, 92, Madrid",40.385409,-3.7281966,40.3866965302915,-3.726854369708497,40.3839985697085,-3.729552330291502,True,"97PC+5P Madrid, Spain",8CGR97PC+5P,
