,business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cafe del Rio,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105913479402260905090"">Alexandro Callegaro</a>'], 'photo_reference': 'AelY_CuMYyIckmi57GmGQMhTMCXiUkybQYqZb9aTp2D8rwdOz8Z-H7_piNooqmIsBJMQFxD1kdIvPlkkHvsfMY_4rMAHxyLuybt8n47fwojZe0gRRtpMijs5TcstODo5fklku77oesH7siF8wYU2rtcapIPg5m7DfAvwIeHJ_mCa44H2w3Vv', 'width': 4096}]",ChIJ7aVnUQsoQg0RPjzUpJGzI0g,2.0,4.0,ChIJ7aVnUQsoQg0RPjzUpJGzI0g,GOOGLE,"['night_club', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",7843.0,"Avenida de Portugal, 1, Madrid",40.4169133,-3.7232444,40.4181147802915,-3.722074569708497,40.4154168197085,-3.724772530291502,False,"C78G+QP Madrid, Spain",8CGRC78G+QP,
1,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cafe del Rio,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105913479402260905090"">Alexandro Callegaro</a>'], 'photo_reference': 'AelY_Ctdu9hI_VIx8JIyYL0J1Ezgf-bg-F0hJPuWI2SKU7M0ffZeeGfgk84TDxov5Dj-VxJRZZINguUc9bG2VGZ54CqgUKfn9dfAluQV3YhewkEsEcYTNcbS77_pkEsFS-8zDF8tep-ZJR-gNL3eErOHwDsQ4EnKrQmwQ2Z-LPCGSau1Q7of', 'width': 4096}]",ChIJ7aVnUQsoQg0RPjzUpJGzI0g,2.0,4.0,ChIJ7aVnUQsoQg0RPjzUpJGzI0g,GOOGLE,"['night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",7843.0,"Avenida de Portugal, 1, Madrid",40.4169133,-3.7232444,40.4181147802915,-3.722074569708497,40.4154168197085,-3.724772530291502,False,"C78G+QP Madrid, Spain",8CGRC78G+QP,
2,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Café de la Galería,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106706579771713636490"">Café de la Galería</a>'], 'photo_reference': 'AelY_CvpwIch8TPVYPnoAJfolsOprzv_RDZ0OmQn9eXXIOeAqF_JL2MrqeQS46yi4xsQRS67hMEj7uiRzJefJeCgwmS8eCOesaJByKFCUNwZeyNAGhapU2gKELKT4evFWJEq-27TtV9qYEc6a1JxabHWZil8cx1NTgnyLWhJUWH7tfKHcQIX', 'width': 5472}]",ChIJT9lHbDYpQg0RT0gJlzCbtDk,,4.9,ChIJT9lHbDYpQg0RT0gJlzCbtDk,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",27.0,"Calle de Bailén, s/n, Madrid",40.4180325,-3.713120900000001,40.4189565302915,-3.711815469708499,40.4162585697085,-3.714513430291503,False,"C79P+6Q Madrid, Spain",8CGRC79P+6Q,
3,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taberna del Alabardero Madrid - Restaurante Palacio Real,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109339238963686048017"">Taberna del Alabardero Madrid - Restaurante Palacio Real</a>'], 'photo_reference': 'AelY_Cv41hSGfzhD1MeAhtwp_kNO25t-vTqMf2FFihP3DQVTcs9B1PKuCJsIJHg6In-RlUB0XLEJ8RRBNSDY5LyHS-4zqQRTgVqcgYMjA6MvQt5e9rom4JSrE9N8doJrnuNrqInygVsi8WAfJFAonqm_DyWcT9XiPZ9jVgV8ygWeJ5DE-c9M', 'width': 1080}]",ChIJq7CeMXooQg0R_hpsTD6w1BQ,3.0,4.3,ChIJq7CeMXooQg0R_hpsTD6w1BQ,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1639.0,"Calle de Felipe V, 6, Madrid",40.4186021,-3.710921599999999,40.4199949302915,-3.709297069708497,40.4172969697085,-3.711995030291502,False,"C79Q+CJ Madrid, Spain",8CGRC79Q+CJ,
4,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Esquina del Real,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117880474543929114716"">La Esquina del Real</a>'], 'photo_reference': 'AelY_CvA8haqGHZu8LPHLu8GMv0lGvvBVHTo9ckc0lxYNXWsArOMYm_a7XNbVwqK9aV0FkwrPwah-Ml-_s3WfplvcimcHtPRHTZ9gIheiM72P1Q0ATPwIRHOJowj9vVdwx2mB6qklIpidjx_JURTqfEF6mb5zVIPQdPRN_z3Yxq-lERz5k8X', 'width': 1280}]",ChIJf8EaeXkoQg0R2XIp_tPMHwg,2.0,4.6,ChIJf8EaeXkoQg0R2XIp_tPMHwg,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",902.0,"Calle de la Amnistía, 4, Madrid",40.4173635,-3.710353399999998,40.4186967802915,-3.709043619708498,40.4159988197085,-3.711741580291502,False,"C78Q+WV Madrid, Spain",8CGRC78Q+WV,
5,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Café de Oriente Palacio Real,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111486345300057628347"">Café de Oriente</a>'], 'photo_reference': 'AelY_CvU1HawpuAu4E-iARqFPKXXaYyVfA3kPEpuN6wuev2IIAjiViIxpGeC2hqo6VX9I3oEygboashpXipy1cQv85hF4yae3HNKMHBjqXK5ISWLuBfCtSkU5ITnI87BvEQo9IjfgIZOjnQEuY7HrvC8EnNU8XrZ_WH84PThCSt7LFzQ4hM9', 'width': 1080}]",ChIJMczvIHooQg0RGwDsexuLD8Y,2.0,4.2,ChIJMczvIHooQg0RGwDsexuLD8Y,GOOGLE,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",5185.0,"Plaza de Oriente, 2, Madrid",40.41769540000001,-3.7115383,40.4188072802915,-3.710312419708497,40.4161093197085,-3.713010380291502,False,"C79Q+39 Madrid, Spain",8CGRC79Q+39,
6,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Foster's Hollywood,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103445078717024636757"">Juan carlos G. Romano</a>'], 'photo_reference': 'AelY_CuNpY4pBy1lawZrzOhqiTEw-kJkx5-O5TvC2kAoKipULS5CLFjUOytzNPkuquVGqMlg13vuogOhIOdCrGXItpV5f4fmosXQ95r11XweUtn_SC_0g6WgeIp7W-jFQWDzSICtBW-_J5KonY-yWRkmAj2FhXx0HVwM71SXVYqtgSV5K9p5', 'width': 4032}]",ChIJT_sV2HsoQg0R9aqOvyI1pT0,2.0,4.2,ChIJT_sV2HsoQg0R9aqOvyI1pT0,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",5625.0,"Plaza de Isabel II, 3, Madrid",40.417834,-3.709782000000001,40.4192147802915,-3.708426319708499,40.4165168197085,-3.711124280291503,False,"C79R+43 Madrid, Spain",8CGRC79R+43,
7,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Los Arrieros,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103628854268632042176"">Antonio Guerra</a>'], 'photo_reference': 'AelY_CvtTVKs2Ib3txh4ijel6aixfQl__f1EHUETua7d87PxxVP55OJZRNiZDqG5tJ29l82FPpWo3TaiZ8UuwgjSmMo96oXpeuDpvbXLuVn1sKRBQ4pArSzj1YzZY0FvRWRoaG-7X03rmaZo5R5F4tKusoS0URs5qR5ngBndkJgKL1OQAxil', 'width': 4160}]",ChIJEYt2xnkoQg0RBKz7_qEEHqw,2.0,4.3,ChIJEYt2xnkoQg0RBKz7_qEEHqw,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",723.0,"Calle de San Nicolás, 9, Madrid",40.4158754,-3.7120756,40.4172249302915,-3.710737119708498,40.4145269697085,-3.713435080291502,False,"C78Q+95 Madrid, Spain",8CGRC78Q+95,
8,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Lonja del Mar,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115019935441298388365"">La Lonja del Mar</a>'], 'photo_reference': 'AelY_CsQ57yzxLNZ5QaYF422TUf0KfqNTAOR9xFOW6bdQNB1zxu7Z1Pusc3xrz90HTz4XcO903NhHuUKxXLnILoxjcqXtz2e258T07r5244RYUW4ngAS_keht99TzfivSH__1nmUMkwyJIvgs768q_kxxo6B4x_WvY_fPNG6wYoVRmHsoAck', 'width': 1080}]",ChIJq7CeMXooQg0RYsiugDCHkKQ,3.0,4.0,ChIJq7CeMXooQg0RYsiugDCHkKQ,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1911.0,"Plaza de Oriente, 6, Madrid",40.41861100000001,-3.711166,40.4200133802915,-3.709508219708497,40.4173154197085,-3.712206180291501,False,"C79Q+CG Madrid, Spain",8CGRC79Q+CG,
9,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,El Anciano Rey de los Vinos,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114331106634311687069"">El Anciano Rey de los Vinos</a>'], 'photo_reference': 'AelY_CubrK4R408oF26TQb9GlbqsgVPG_4jOeGfNkHbRq0CuNAuYfmwv5Wz-HSuBVknfKUAEq38vcKurxMshiwePH2veo75R1lul9VR9mx4CV7uDD3m-6XeGO144tyOtciu90oieM71tfBkwi2Dg8HsXeDAKiwhWyVZPPKx9PxKRnzWrUWjT', 'width': 2048}]",ChIJnbhUeXcoQg0Rj7gl-m7dgjM,2.0,4.3,ChIJnbhUeXcoQg0Rj7gl-m7dgjM,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2450.0,"Calle de Bailén, 19, Madrid",40.41538310000001,-3.7133428,40.4168167802915,-3.711967119708497,40.4141188197085,-3.714665080291502,False,"C78P+5M Madrid, Spain",8CGRC78P+5M,
