,business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bar Montes,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103614036988285374645"">Bar Montes</a>'], 'photo_reference': 'AelY_CuFj8wBf3pzgXNOUybSPLAx48QGJOmaDmw-pFc594WurzPARXLdgymKUsDR0SitVpZJLUuh4FcXKDPLi5nRldxMz7S6Dv1SYMGc3Um3aw4mOwl-s6Gbl1wQbcnGmql0W0Rns9_i1Ju8fA5yDtQlGxKaqgKFOQ43uTiA-yWGJgnN-s2g', 'width': 4032}]",ChIJlTy5IugnQg0R5G_MvNBL-JQ,1.0,4.6,ChIJlTy5IugnQg0R5G_MvNBL-JQ,GOOGLE,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",372.0,"Paseo de San Illán, 5, Madrid",40.4020607,-3.7240561,40.4034826302915,-3.722910569708498,40.4007846697085,-3.725608530291502,False,"C72G+R9 Madrid, Spain",8CGRC72G+R9,
1,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Más Amigos que Nunca,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109832047575594105980"">&quot;Mas Amigos Que Nunca&quot; Cerrado x Vacaciones del 11 al 26/8/24</a>'], 'photo_reference': 'AelY_CtxOauo7pT9ywccAgM6LsoBQ9cwDn5Cg65R3eYmABCUMb2b4CKo56e_XzZ2Xayb_s1ELU1pzF2jHL_8Hjt9a0XvXaoJET2inb0P5nYb0TGkH0eHw2Aa3a8YzcPCqYe--_v27wsVGMtIKHpnTL7omiuiofURSSgFLj8JoAjG2rWAZA--', 'width': 3648}]",ChIJ8WpWCegnQg0RbmRGbYnvFBY,1.0,4.6,ChIJ8WpWCegnQg0RbmRGbYnvFBY,GOOGLE,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",355.0,"Calle de San Dámaso, 16, Madrid",40.40169999999999,-3.72415,40.40300268029149,-3.722781069708498,40.40030471970849,-3.725479030291502,,"C72G+M8 Madrid, Spain",8CGRC72G+M8,True
2,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bar La Esquina,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104208537827910659577"">Bar La Esquina</a>'], 'photo_reference': 'AelY_CuOjSUmvYQbQR2gwpt8nNaCaLGOnR8u25pRQsBtVZGBtBxpC05IBYjrnfNFJas0jtu85m1Evw_xacdzY9GjunQM4ZHUeFIyQC53JQ58DVjPuK2TPgpW4A4YgBJXrfZ1anUzQNGBKDGTaRmJ1XIH5pezNjpNyjr8VhXBaMWJw0_cSoom', 'width': 1440}]",ChIJV8PzWN0nQg0RFWoU6XsNnxI,1.0,4.6,ChIJV8PzWN0nQg0RFWoU6XsNnxI,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'bar', 'point_of_interest', 'establishment']",466.0,"Avenida del Manzanares, 58, Madrid",40.4026844,-3.723201199999999,40.4040470302915,-3.721734719708498,40.4013490697085,-3.724432680291502,,"C73G+3P Madrid, Spain",8CGRC73G+3P,True
3,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizzería Central,"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118116692749842694317"">Pizzería Central</a>'], 'photo_reference': 'AelY_CtrkOnttfyPmqw_uP7THYvJR3dPgquWsqh19KghW2B9ZdEhck1TNtSDpqCRGczg5cD7TrOfdFYqaKRNktydjpGISObmDVO4xNFfPa1BKQkUxawiat_ikgepIInUCeq6dL_ij6atpXlAeATy_IZxGYi83VWGADncnt1eJ708IPP3PHDM', 'width': 1280}]",ChIJ-VCRjOQnQg0RNbr1RpbhZiI,,4.9,ChIJ-VCRjOQnQg0RNbr1RpbhZiI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",193.0,"Avenida del Manzanares, 62, Madrid",40.402139,-3.7229315,40.4035334302915,-3.721560819708498,40.4008354697085,-3.724258780291502,False,"C72G+VR Madrid, Spain",8CGRC72G+VR,
4,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizzería Central,"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118116692749842694317"">Pizzería Central</a>'], 'photo_reference': 'AelY_CsvTfzXx0LLOLHoydiwtCmhXjm7UR-RTniEdsEmhrOD8VmHxiSmiV_PDoOuUNyd2XHyDoLs_dh7xfDZwl9BsGCVZEpxDKk7CFn71wqAFJrfS3G_X5NSHcbISw5aFVOTj7mLPQssjWlywm7cRk0mTO_3EyS2H8nik9Pd5hqAcLYoU65F', 'width': 1280}]",ChIJ-VCRjOQnQg0RNbr1RpbhZiI,,4.9,ChIJ-VCRjOQnQg0RNbr1RpbhZiI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",193.0,"Avenida del Manzanares, 62, Madrid",40.402139,-3.7229315,40.4035334302915,-3.721560819708498,40.4008354697085,-3.724258780291502,False,"C72G+VR Madrid, Spain",8CGRC72G+VR,
5,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bar La Esquina,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104208537827910659577"">Bar La Esquina</a>'], 'photo_reference': 'AelY_Cvofr1vY1MQ2XUCZI3VBvpbajiXYZavUvAg-Vnn4ufn-WNNJHi0lQRx6l-AiGMKoJnj9-d8X4LeW43su2bhBSzB-3aIZZibIJzvWY7PcMTlqdXi-sdkU9xJrH4e0xOvRSG5R30hb88ETLJ573YKP2iJYlfleSpxjCdhiw4lxoxC84Wa', 'width': 1440}]",ChIJV8PzWN0nQg0RFWoU6XsNnxI,1.0,4.6,ChIJV8PzWN0nQg0RFWoU6XsNnxI,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'bar', 'point_of_interest', 'establishment']",466.0,"Avenida del Manzanares, 58, Madrid",40.4026844,-3.723201199999999,40.4040470302915,-3.721734719708498,40.4013490697085,-3.724432680291502,,"C73G+3P Madrid, Spain",8CGRC73G+3P,True
6,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurante El Sueño de Carmen,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109542156585961027815"">Enrique Cañadas Rivera</a>'], 'photo_reference': 'AelY_CtrwviZ4Ovz99ICoG8P-xJbOPIs2KB_wkU3WrleXKxa_PKjtMHFlCnpRdeWX7hHpg4DcYdfy7WdiW2d4d-oSo2AMiRg5MjP7qSlHOwKlPTwfEyNCTj5R2mAowxA3lvEPHhmLUTCv2PVVYBxB5ZYydVLFb0jSIDxyV-HA2kc0RjB2_c', 'width': 3000}]",ChIJa-i_LEAnQg0RVrXzKxsffxQ,2.0,4.8,ChIJa-i_LEAnQg0RVrXzKxsffxQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1501.0,"Calle San Epifanio, 7, Madrid",40.4013171,-3.7187451,40.40286843029151,-3.717295669708497,40.40017046970851,-3.719993630291502,False,"C72J+GG Madrid, Spain",8CGRC72J+GG,
7,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bar Montes,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103614036988285374645"">Bar Montes</a>'], 'photo_reference': 'AelY_Cvbcbi62RmQxa_v7ATUKXNn32maiGDFBiwLAv_8-HWmn_MdaNibOSvKJmmzwiTRai2gn85Ak-M8K__0X9a4nFlQB8lIAT3Sjy3QK3mz-TEvUxPIsBLuAlxhdgxxnybuX2uLq-7yHmU7IxXVkyF8VjUEZNSB7-mcN2msVq8VPe9DCt4N', 'width': 4032}]",ChIJlTy5IugnQg0R5G_MvNBL-JQ,1.0,4.6,ChIJlTy5IugnQg0R5G_MvNBL-JQ,GOOGLE,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",372.0,"Paseo de San Illán, 5, Madrid",40.4020607,-3.7240561,40.4034826302915,-3.722910569708498,40.4007846697085,-3.725608530291502,False,"C72G+R9 Madrid, Spain",8CGRC72G+R9,
8,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bar Restaurante Duratón,"[{'height': 2556, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104076654812801667997"">Matthieu Couty</a>'], 'photo_reference': 'AelY_CsPsaCiMwoXwmgVu2EARziV2glipOPA5FsjJyYpP8quHUpC2EEgPasQp41YrlQQqTqLHsqMHnZoRv-8QeW6NwKnQPn2dFyF0Y4mf2xarpAM3zyG30aYify4djYhN9OVRzfZnC7K6wuprcwmY1xC_XMsjWhAq24RXLNsv1OVHnr7j2Ab', 'width': 3408}]",ChIJtyN-U8MnQg0RrTjWcEtj1oo,,4.4,ChIJtyN-U8MnQg0RrTjWcEtj1oo,GOOGLE,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",95.0,"Calle San Epifanio, Madrid",40.4020652,-3.718443499999999,40.40346623029149,-3.717136919708498,40.40076826970849,-3.719834880291502,False,"C72J+RJ Madrid, Spain",8CGRC72J+RJ,
9,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Más Amigos que Nunca,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109832047575594105980"">&quot;Mas Amigos Que Nunca&quot; Cerrado x Vacaciones del 11 al 26/8/24</a>'], 'photo_reference': 'AelY_CtK9p5T1ii0OOQQZe54MZaXu6V6hT6GFFqHhdmv3m0Zwjfs2VSTKtmfv5oLfkoM29jHXDxN2ucGtjnlXXgmGbsoHoFMs0vMMGgpJp_ClqcmlBHIRnqwh6kTtwkZQ1-FKAqfkVZN_kUcR1cY2welsqpHm9f0F2qR2OYYEcnw4lmWii6l', 'width': 3648}]",ChIJ8WpWCegnQg0RbmRGbYnvFBY,1.0,4.6,ChIJ8WpWCegnQg0RbmRGbYnvFBY,GOOGLE,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",355.0,"Calle de San Dámaso, 16, Madrid",40.40169999999999,-3.72415,40.40300268029149,-3.722781069708498,40.40030471970849,-3.725479030291502,,"C72G+M8 Madrid, Spain",8CGRC72G+M8,True
