,business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Los Castaños,"[{'height': 698, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100051288217774937560"">Los Castaños</a>'], 'photo_reference': 'AelY_CuZoPn9rZsAqNBFA14a2Rbbn3XY3UYCNSOfS5Anvu2fagwEtgwjEb4qpAdiW1MzdzxwKHC-kKHquDlORjUHk_obQzX7Dy151fOptzFVZfih44eSYxgLhqVWJZFDFClobTcIHzv7HwtLFpNSRE0BRm4s2T6rXn6VyHA6tB11nBk_vw0I', 'width': 1024}]",ChIJRTbHr0gmQg0R6fzLL0syVO0,1.0,4.3,ChIJRTbHr0gmQg0R6fzLL0syVO0,GOOGLE,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']",1628.0,"Calle del Teniente Coronel Noreña, 26, Madrid",40.3883192,-3.693309599999999,40.3896387302915,-3.691890669708497,40.3869407697085,-3.694588630291502,False,"98Q4+8M Madrid, Spain",8CGR98Q4+8M,
1,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Muxia,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103993461652180403617"">BENITO MARTINEZ</a>'], 'photo_reference': 'AelY_CsbV2gzT0SsU1GXKkdTh2EZ7tyHxq1autEf3UYJje0LYQV4pr7axL5BKqPiZVm8RoK7UkXlcpc2EUBOj4B-5f-Psflo4uZgEWo0JAT4WMosAWe920jFD5Pbf8J2zi_Mp4Gv_ONChuUt3_HWhsbulAaY8EkTiWUoBHz7ADD4D-N-6l45', 'width': 4608}]",ChIJQXlfvkgmQg0ROjpEA8zG6uU,1.0,4.2,ChIJQXlfvkgmQg0ROjpEA8zG6uU,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",850.0,"Calle del Teniente Coronel Noreña, 21, Madrid",40.3888957,-3.693742499999999,40.3902664302915,-3.692482819708497,40.3875684697085,-3.695180780291502,False,"98Q4+HG Madrid, Spain",8CGR98Q4+HG,
2,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hamaca Restaurante Colombiano,"[{'height': 1184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115055383090176917276"">Miguel angel Manzaneque gallego</a>'], 'photo_reference': 'AelY_Cs7X-nSbnlm_3J_GE395wtTW6jtKp8mn1GirE7XCDFMRLSo6kaWi6vXNfikQGM5E6VEFhI8v5lx-5Yd4EqYmw1UbEz6tnD1-GhsstG4r2PVqxcbmtPKzOetFB8R9BAdGRV3atitdnxIcEbvcenQMMQoYOayNnCREAyJ6ULtp0ws9hRj', 'width': 2560}]",ChIJ68_D4MwnQg0RHb3KaKNrWus,,4.4,ChIJ68_D4MwnQg0RHb3KaKNrWus,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",852.0,"Calle del Teniente Coronel Noreña, 14 (28045, Madrid",40.38902,-3.69407,40.3904036802915,-3.692796469708498,40.3877057197085,-3.695494430291502,False,"98Q4+J9 Madrid, Spain",8CGR98Q4+J9,
3,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nantes,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101667461260853410286"">Nantes</a>'], 'photo_reference': 'AelY_Cvux3I1rAZdh4Dtuu2pVB73ykXfUqUM85OsSC7AVXuCMrLKT9wE8CFnmCIeC9Iqm0GtsS388FmkT5DgQA1zAG8zGgwvdyF5wXEPjz8eb9mJi-aG1E7SwM11p06JmCFHlx6g_bs4UhDb4n1ClnwK-pV4alNoe7MImOhwK9J1Pq5wd4q2', 'width': 1920}]",ChIJpWyx7DwnQg0R4B0s9BuHXrg,2.0,4.6,ChIJpWyx7DwnQg0R4B0s9BuHXrg,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1147.0,"Calle del Maestro Arbós, 15, Madrid",40.388989,-3.695021,40.3904069802915,-3.693672069708498,40.3877090197085,-3.696370030291503,,"98Q3+HX Madrid, Spain",8CGR98Q3+HX,True
4,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gustazio Gastrobar (Pinsa Romana & gastronomía italiana),"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104742529268671815439"">Gustazio Gastrobar (Pinsa Romana &amp; gastronomía italiana)</a>'], 'photo_reference': 'AelY_CuzuORiwaPKxemAf0zqpYcj4RIefwdxlcit2h-0F5BNdhTquvN_z5MJKY2Z1fNJi0usSQaAKB8gG6KXJVp2mZWz8ULlVx4pQMMqKRoHEdsO4zjaKbS3qNyozKhla0FBqwNswqNpzedmbtaQxxT2VsnkgkQD4M3iBrd9c3Byftxc-35u', 'width': 3456}]",ChIJjYjCcUYmQg0RBLP4OsGwWe8,2.0,4.6,ChIJjYjCcUYmQg0RBLP4OsGwWe8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1292.0,"Calle de Embajadores, 197, Madrid",40.3884173,-3.691095399999999,40.3898724802915,-3.689829369708497,40.3871745197085,-3.692527330291501,False,"98Q5+9H Madrid, Spain",8CGR98Q5+9H,
5,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Trending Tapas,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101265607043655710215"">Trending Tapas</a>'], 'photo_reference': 'AelY_Cs0JU0ZJR1mrwzgkpIKW3vF4Wh2ZKLX11bk741twUfX2MHWt2Mq4qRCQSoAwec2zChMoVhbYe7bppXzcqYlEaeTDSnUlylFdR871xaBSIAUtkm4Pioq2cuy6p8vJZjewqT0AlCVVXkg876cE7t6JLDrnsW9ee9fGft_bhBIUZCWFADR', 'width': 4032}]",ChIJgfyhbkYmQg0Rsj6-Nds3qbY,1.0,4.1,ChIJgfyhbkYmQg0Rsj6-Nds3qbY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1553.0,"Calle de Embajadores, 195, Madrid",40.3887023,-3.6912594,40.3900168802915,-3.689954569708498,40.38731891970851,-3.692652530291502,False,"98Q5+FF Madrid, Spain",8CGR98Q5+FF,
6,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BAR LA BRONCE,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104714208532597188170"">BAR LA BRONCE</a>'], 'photo_reference': 'AelY_CufHxfqmsRPhvFGmeK9PQ-3o4i7nUDJ6doSGF2HkrXj0uW3Oj1dZgLR4bbNsM-c4QJvGuHXSQUbnaczkrfhWbhovEFM3puMd-MSEa6RcmkmDAVKQWYD1bkuxiT3ZEDU2wuz3Ki30XgI8BY_vjcUIQFSk1VATRHGX114rAr4AK8BB2Tw', 'width': 1024}]",ChIJh2rUm0YmQg0RNDgnVpuPmMk,1.0,4.0,ChIJh2rUm0YmQg0RNDgnVpuPmMk,GOOGLE,"['restaurant', 'store', 'food', 'point_of_interest', 'establishment']",206.0,"Calle del Bronce, 35, Madrid",40.3882323,-3.689354,40.3896344802915,-3.688119569708498,40.38693651970851,-3.690817530291502,False,"98Q6+77 Madrid, Spain",8CGR98Q6+77,
7,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurante Los Castaños II,"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104237316162405350679"">emi montilla casas</a>'], 'photo_reference': 'AelY_Cv2_Jc_d2OG-2lqlpo-TaQ-77YgPudfjNP8yw06EOe5oPwTSId6R747cnEFnKN7UCGTrc-3Glk5Lx9IVq8b_QSwklCvTC0yW3DdkbkmBIbaIoVLh000tzdRfAu8TpdovkMe6H2CTikMdlk5ccr6KrWE4oenEfPFBPB4iWwcHZZIhLg4', 'width': 3968}]",ChIJj7DAvkUmQg0RCSVsqRC4FOE,1.0,4.4,ChIJj7DAvkUmQg0RCSVsqRC4FOE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1014.0,"Calle José Antonio Zapata, 4, Madrid",40.3862179,-3.6913331,40.3876397302915,-3.690044369708498,40.3849417697085,-3.692742330291503,False,"98P5+FF Madrid, Spain",8CGR98P5+FF,
8,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El restaurante de Edoardo Petrazzuolo,"[{'height': 562, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100037510967423193443"">Luca Procaccio</a>'], 'photo_reference': 'AelY_CvSTEDiAnns-E9oAyGH21CMjaoy8iluf4Umcko3HMfEWiZBWSaZcc9YFfrE6CxUez-cuTS1chQc5V1LrRYY6FIKkYxMj0vATIcA76QdGhXWY0wjfIvvzwfcpmW7IBArb8g45Ltk0FqFtHmDz1QmU6GOrP47qil8KJE8VTr5uRk7hww9', 'width': 1000}]",ChIJA6qVOaInQg0RVqA58yIu2Sc,,5.0,ChIJA6qVOaInQg0RVqA58yIu2Sc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Calle de Embajadores, Madrid",40.3884165,-3.691104,40.3898733802915,-3.689833669708497,40.3871754197085,-3.692531630291502,True,"98Q5+9H Madrid, Spain",8CGR98Q5+9H,
9,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Parrilla de Heras,"[{'height': 744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115283732375213336144"">La Parrilla de Heras</a>'], 'photo_reference': 'AelY_Cv-dcNyZyFjSdwOFPPvfZLLTpnpo0-_xi33cy0hNfAiHx8lXn7U6i-_zDsLHCsSC7Yb29UfpSq5UX_TiWxu89gWKUoo8hep8QF3IGhmBr5ckjiI-EKfp83gQaSN3fXpFgwzVKz2wlHKHOUBID8KLYlfSzXdFfmU-Uc0wb8DyNnPeAap', 'width': 744}]",ChIJH-2z3CcnQg0RLuHTN-G1hgk,1.0,4.4,ChIJH-2z3CcnQg0RLuHTN-G1hgk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",136.0,"Calle del Bronce, 39, Madrid",40.387955,-3.6898285,40.38925208029151,-3.688611919708497,40.38655411970851,-3.691309880291501,False,"98Q6+53 Madrid, Spain",8CGR98Q6+53,
