,business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed
0,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,La Gamba Dorada Restaurante Cafetería,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115202754861856814258"">Pedro Garcia</a>'], 'photo_reference': 'AelY_CudJoEAuh1iZbMYoL7gfejh2ve21KQw31LLX98x3Ab-aFw4p4Nv4K-WKFgv-8aS3a0LGbtZBOe2ODfHrhuFrvhtaljSawboo1hVPg3JIb47j4Rn84wSMO0MdjG4sXQQXKkSZREpROE8kTD7HmFQGMZid7nJLw_8bleL_2ImPa8-4Dg', 'width': 3120}]",ChIJaeBlaJUnQg0RFZm456XixPE,1.0,4.0,ChIJaeBlaJUnQg0RFZm456XixPE,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",510.0,"Calle de Alejandro Sánchez, 31, Madrid",40.3904514,-3.723814199999999,40.3917723302915,-3.722488369708497,40.3890743697085,-3.725186330291501,False,"97RG+5F Madrid, Spain",8CGR97RG+5F,
1,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Rondador,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112453294391963915753"">Aracelli Munoz</a>'], 'photo_reference': 'AelY_Csvot_Qf9axWbDrUZYXWYcEMk9nQgD6rfhQEx93lr5iOXv89BClF52C6xxVUbA7SskcArBKfFvevgcHAatzuJ--FkCT2SmLG_jfBKFA023EUgVEoJ9REX5EZpZPv9e6CORS__a4sVhYPAvmP0QVrGp2qplfyiJ1acJw7IaXEVBYnLxy', 'width': 4032}]",ChIJp2fKgcAnQg0RpK74fsFjsO0,1.0,4.5,ChIJp2fKgcAnQg0RpK74fsFjsO0,GOOGLE,"['restaurant', 'liquor_store', 'bar', 'point_of_interest', 'food', 'store', 'establishment']",507.0,"Calle Sallaberry, 65, Madrid",40.39203819999999,-3.7204921,40.3933492802915,-3.719171219708497,40.3906513197085,-3.721869180291501,False,"97RH+RR Madrid, Spain",8CGR97RH+RR,
2,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Xatruch's,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105983723291053817679"">Johana Giraldo</a>'], 'photo_reference': 'AelY_CutQ8iLtRrp-hT0XG9Y8yoz0_amwQLB70hcSDZuBJchE6ImySDmUUpZKe6JCE1S0xQ9eOWJXz_j7jnKN8ZEXrvyXD2LSuVaN5b15tgA0xdrwydSh66xDXHDGVIAdmXYvsLaV4k5lULbHzH_f_wdgFmE0EqmnkyByHWqe67dAbMermKc', 'width': 2992}]",ChIJMzshX0MnQg0RJudZv1PVIKs,2.0,4.1,ChIJMzshX0MnQg0RJudZv1PVIKs,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",354.0,"Calle de Alejandro Sánchez, 55, Madrid",40.3900217,-3.7212719,40.3913400802915,-3.719927719708497,40.3886421197085,-3.722625680291502,False,"97RH+2F Madrid, Spain",8CGR97RH+2F,
3,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,RESTAURANTE EL RINCÓN DE MARTOS,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115670242501663860741"">Alexandru Dragan</a>'], 'photo_reference': 'AelY_Cu0L5GsihywJnkEbHcsXDU8zrGeWOq4mUXOmxZlTeUmSLOlSNNswVxix_rYd871MVSs6xeZv5o90ZTRKhrKzKdekN_BbEehC_PxPAn0yZ2XKCVe7S9l2O98q0bRyowprqYWKyUSlV7UtsGGelfgLGgo1ewvZC3pKOy-iMPQz1AraGUC', 'width': 2880}]",ChIJ8xwMsL8nQg0RiC1FAs1KPOw,1.0,4.5,ChIJ8xwMsL8nQg0RiC1FAs1KPOw,GOOGLE,"['restaurant', 'cafe', 'bar', 'point_of_interest', 'food', 'establishment']",295.0,"Calle de Alejandro Sánchez, 53, Madrid",40.39012179999999,-3.7214944,40.3914133302915,-3.720187819708497,40.3887153697085,-3.722885780291502,False,"97RH+2C Madrid, Spain",8CGR97RH+2C,
4,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bar Comida China Feliz,"[{'height': 9280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105137498547040995850"">Joma Luciano</a>'], 'photo_reference': 'AelY_Cu5aSYfvVzhK2H3VwPqlO0LHlH98LdpzjmsYXxAtOJguX69NaYxfuTj2TpcuM4lN4_WU4jgJk2Bpaa7S5ulxC95-yjOXriRhiMslVfqGaNK9ILt5VLoJJrsqDGRopUBldkcZVL6DRl8p9k26_tdeRI21CFXQ69JsDk7CjH9iXI6fWeI', 'width': 6944}]",ChIJIb4gpr8nQg0RYG0u-uTpoGs,,3.5,ChIJIb4gpr8nQg0RYG0u-uTpoGs,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",122.0,"Calle Sallaberry, 101, Madrid",40.3901285,-3.720733500000001,40.39145413029151,-3.719484019708498,40.38875616970851,-3.722181980291503,False,"97RH+3P Madrid, Spain",8CGR97RH+3P,
5,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Asgaya,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100312423731876800701"">C Love</a>'], 'photo_reference': 'AelY_CsU_U5mXzn6-Th3knm1-RpAlWVfN7ZcGmDAdvZeC7Oadd0iXN4ukHGFA_eK3TBttVxS_wGQ8UGR40P7CivlPx_EsEkW6FgcH34OE_VAekEPXmchgc690ROifpf1N2AZTHchCk88dgyZJ1y0OnQ_hQt__m3vQS32dRuATc2YB5aJ0CSN', 'width': 3472}]",ChIJn5XQXpUnQg0RsK2Hryw7LI4,1.0,4.1,ChIJn5XQXpUnQg0RsK2Hryw7LI4,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",411.0,"Calle de Mercedes Arteaga, 52, Madrid",40.39096199999999,-3.7232947,40.39230418029149,-3.721882519708497,40.3896062197085,-3.724580480291502,False,"97RG+9M Madrid, Spain",8CGR97RG+9M,
6,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,La Bodeguita Cubana,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109058942332771110123"">Elbis Gomez</a>'], 'photo_reference': 'AelY_CvULPxg-IV0AP3EdePFM4ugOpgcNFbFpFokUV_HigAWuEVxZ3HkpbSMSZcgceo2A4gqAwflJIepYEPh8Pw-B5rLndf3zexim63zYNIkVoOBgH-Wu2g1tgFkOQGopeHwqaI9qDo1ZjthDJWlcka0vdYcxQbm4hKg4R5e1sE-sj8sI1fv', 'width': 1824}]",ChIJHWC8WkcnQg0RqquFFvY6lJU,,4.6,ChIJHWC8WkcnQg0RqquFFvY6lJU,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",84.0,"Calle de Mercedes Arteaga, 44, Madrid",40.3915544,-3.723010299999999,40.3928742802915,-3.721596469708497,40.3901763197085,-3.724294430291502,False,"97RG+JQ Madrid, Spain",8CGR97RG+JQ,
7,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,El Cubanito,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110026109714747320535"">El Cubanito</a>'], 'photo_reference': 'AelY_CsA1UxR3gRj2EekZS4yKvX2_5dp-RvQ6KmjqEDEtfiQDkS7gULyKnbqJyi7bjuSEiVpHWW4VYpV8WXueIp6Tpf7uanMTxH_eVvqzi12zNcKI6d3Pnr4LEx40oc4_KQip9KB5cxFpFfy3O306pI-z4hxIoU-gr9rC1c8y3vwnzhY_l15', 'width': 4032}]",ChIJ67Uq6MEnQg0RK8d6N6u57MA,,4.4,ChIJ67Uq6MEnQg0RK8d6N6u57MA,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",32.0,Madrid,40.3917783,-3.7228482,40.3930834802915,-3.721468319708498,40.3903855197085,-3.724166280291502,False,"97RG+PV Madrid, Spain",8CGR97RG+PV,
8,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Zony,,ChIJsf4FncAnQg0RfTRasRJ2LLk,,,ChIJsf4FncAnQg0RfTRasRJ2LLk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Calle de Belmonte de Tajo, 36, Madrid",40.39210349999999,-3.7198988,40.39345103029149,-3.718509619708497,40.39075306970849,-3.721207580291502,,"97RJ+R2 Madrid, Spain",8CGR97RJ+R2,True
9,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Un Trocito de Mi País,"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116765266945744725064"">Silvio Enrique González Cabrera</a>'], 'photo_reference': 'AelY_CtfTY5H9cjIByAf34y_EPyqKgrqvhPVavRObvYpRHbJuHjgNros0CNFfp-Fg3vk71nmBoUqstzdxsCXKhMf-gXgp9paY-DHeCnaICM6t62QF8C898bQ4lX7rkzEEdmFgv38DFiUDDSLUor75k73p_Ma9Eb81p2VoJBYdS0y9s33Dfo7', 'width': 4080}]",ChIJd-r46r4nQg0RbdS0Bxt7kYQ,1.0,4.5,ChIJd-r46r4nQg0RbdS0Bxt7kYQ,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",743.0,"Travesía De Opañel, 1, Madrid",40.38832419999999,-3.719535299999999,40.38968008029149,-3.718227119708497,40.3869821197085,-3.720925080291501,False,"97QJ+85 Madrid, Spain",8CGR97QJ+85,
